MAC_ID	datetime	channel	program_name
			
4136b85db09a646f2fb83c341556c940	2024-01-01T00:09:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T00:19:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T00:29:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T00:39:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T00:49:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T00:59:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:09:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:19:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:29:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:39:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:49:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T01:59:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:09:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:19:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:29:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:39:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:49:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T02:59:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:09:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:19:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:29:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:39:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:49:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T03:59:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T04:09:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T04:19:00.000+04:00	SSC Extra 1 HD	
4136b85db09a646f2fb83c341556c940	2024-01-01T04:29:00.000+04:00	SSC Extra 1 HD	
