channel	date	total_viewership_hours
SSC 5 HD	2024-01-07	0.23333333333333334
MBC Drama	2024-01-04	0.65
CBC	2024-01-06	0.016666666666666666
	2024-01-07	0.13333333333333333
Alrai TV	2024-01-01	0.03333333333333333
beIN SPORTS HD	2024-01-06	0.016666666666666666
MBC MAX	2024-01-05	0.016666666666666666
SSC Extra 2 HD	2024-01-07	0.03333333333333333
MBC+ Drama  HD	2024-01-05	0.21666666666666667
MBC Action	2024-01-05	2.4
CBC	2024-01-01	0.03333333333333333
CBC Drama	2024-01-06	0.03333333333333333
Saudi 1 HD	2024-01-07	1.3833333333333333
MBC2	2024-01-03	0.016666666666666666
MBC2 HD	2024-01-02	0.1
MBC Action	2024-01-06	2.45
MBC1	2024-01-06	1.4166666666666667
SSC Extra 1 HD	2024-01-02	4.75
CITRUSS TV	2024-01-07	0.016666666666666666
Al Hadath	2024-01-07	0.016666666666666666
SSC 1 HD	2024-01-05	0.03333333333333333
Al Hayat Muslsalat	2024-01-01	0.016666666666666666
SSC 3 HD	2024-01-04	0.016666666666666666
MBC Action	2024-01-03	2.4
Saudi Quran HD	2024-01-03	0.03333333333333333
Al Arabiya	2024-01-06	0.6333333333333333
	2024-01-02	0.15
MBC Drama	2024-01-01	0.016666666666666666
Libya Sport 2 HD	2024-01-02	0.016666666666666666
BELQEES	2024-01-03	0.016666666666666666
MBC1 HD	2024-01-06	2.4166666666666665
Dubai One	2024-01-04	0.016666666666666666
SSC News HD	2024-01-07	0.03333333333333333
SAUDI CH For Quran HD	2024-01-06	1.1166666666666667
GOBX Marhaba	2024-01-04	0.48333333333333334
Qatar QBS Radio	2024-01-07	0.016666666666666666
Sports 4	2024-01-04	0.016666666666666666
Saudi Radio 1	2024-01-04	0.016666666666666666
Al Arabiya HD	2024-01-01	0.05
Al Arabiya Business	2024-01-03	0.05
SSC News HD	2024-01-06	0.8833333333333333
MBC2	2024-01-07	0.016666666666666666
MBC Drama HD	2024-01-03	0.016666666666666666
SSC Extra 2	2024-01-05	2.4
Fujairah Athaan	2024-01-05	0.016666666666666666
MBC1	2024-01-05	2.15
Mehwer	2024-01-06	0.016666666666666666
SAUDI CH For Quran HD	2024-01-03	0.2
SAUDI CH For Sunnah HD	2024-01-05	0.21666666666666667
SAUDI CH For Quran HD	2024-01-05	0.4
MBC Masr	2024-01-06	0.03333333333333333
SSC Extra 1 HD	2024-01-03	4.8
MBC1	2024-01-03	0.7
SSC 4 HD	2024-01-04	0.016666666666666666
		0.0
Saudi 1 HD	2024-01-04	0.6333333333333333
MBC1	2024-01-02	1.0333333333333334
MBC MAX	2024-01-04	0.45
MBC1 HD	2024-01-02	0.11666666666666667
Al Nahar Drama	2024-01-07	0.21666666666666667
MBC4	2024-01-05	0.016666666666666666
MBC+ Drama  HD	2024-01-07	0.1
SSC News HD	2024-01-01	0.016666666666666666
MBC1	2024-01-07	0.7166666666666667
France 24 English HD	2024-01-01	0.016666666666666666
Test	2024-01-01	0.03333333333333333
MBC Action HD	2024-01-03	0.5166666666666667
Al Arabiya HD	2024-01-04	0.18333333333333332
SAUDI CH For Quran HD	2024-01-01	0.5666666666666667
ALKASS ONE HD	2024-01-05	0.016666666666666666
Wanasah	2024-01-05	0.016666666666666666
MBC MAX	2024-01-03	0.38333333333333336
Fursan Aliraq TV	2024-01-05	0.1
Quran Kareem	2024-01-04	0.016666666666666666
SSC 4 HD	2024-01-06	0.016666666666666666
MBC Action	2024-01-01	2.4
MBC MAX	2024-01-02	0.31666666666666665
SSC 2 HD	2024-01-05	0.03333333333333333
Rotana Drama	2024-01-01	0.016666666666666666
Dubai TV	2024-01-07	0.016666666666666666
SSC 2 HD	2024-01-06	0.016666666666666666
Al Arabiya	2024-01-01	1.0833333333333333
MBC+ Variety HD	2024-01-01	0.03333333333333333
SBC HD	2024-01-01	0.016666666666666666
ALSahraa HD	2024-01-02	1.85
ALSahraa HD	2024-01-04	1.5
SAUDI CH For Sunnah HD	2024-01-01	0.23333333333333334
MBC Masr	2024-01-07	0.016666666666666666
MBC Drama	2024-01-07	0.5833333333333334
MBC Action HD	2024-01-06	0.31666666666666665
Al Saeedah	2024-01-01	0.016666666666666666
France 24 English HD	2024-01-03	0.03333333333333333
Al Hadath	2024-01-01	0.43333333333333335
SBC HD	2024-01-04	0.05
MBC IRAQ	2024-01-05	0.05
Al Arabiya HD	2024-01-03	0.1
EL HEDDAF TV	2024-01-03	0.016666666666666666
MBC+ Variety HD	2024-01-04	0.05
SAUDI CH For Quran HD	2024-01-04	0.25
OSNtv Movies Comedy	2024-01-03	0.016666666666666666
SSC1	2024-01-03	0.016666666666666666
MBC IRAQ	2024-01-02	0.35
KTV 1	2024-01-07	0.016666666666666666
Al Arabiya HD	2024-01-06	0.016666666666666666
SSC News HD	2024-01-05	0.9666666666666667
MBC2	2024-01-04	0.21666666666666667
MBC4	2024-01-02	0.016666666666666666
MBC+ Drama  HD	2024-01-06	0.016666666666666666
GOBX Marhaba	2024-01-01	0.18333333333333332
	2024-01-05	0.1
MBC3	2024-01-04	0.03333333333333333
Dubai TV	2024-01-03	0.016666666666666666
Saudi 1 HD	2024-01-05	0.7666666666666667
Al Arabiya	2024-01-02	0.6333333333333333
GOBX Marhaba	2024-01-05	0.18333333333333332
SPACETOON ARABIC	2024-01-01	0.18333333333333332
Nile Drama	2024-01-06	0.18333333333333332
MBC Max HD	2024-01-06	0.65
MBC Max HD	2024-01-04	0.016666666666666666
MBC+ Drama  HD	2024-01-03	0.03333333333333333
MBC1 HD	2024-01-03	0.06666666666666667
SAUDI CH For Sunnah HD	2024-01-02	0.35
MBC4	2024-01-07	0.03333333333333333
Abu Dhabi TV	2024-01-04	0.03333333333333333
	2024-01-04	0.21666666666666667
GOBX Marhaba	2024-01-07	2.683333333333333
Channel 8 ARA	2024-01-03	0.016666666666666666
France 24 English HD	2024-01-06	0.016666666666666666
MBC Drama	2024-01-03	0.6
LIBYA SPORT 1 HD	2024-01-04	0.016666666666666666
MBC IRAQ HD	2024-01-02	0.16666666666666666
ALSahraa HD	2024-01-05	0.9833333333333333
SSC Extra 2	2024-01-04	2.4
MBC Drama	2024-01-02	0.26666666666666666
MBC Action HD	2024-01-05	0.3333333333333333
MBC Drama	2024-01-06	0.08333333333333333
MBC Action HD	2024-01-02	0.6666666666666666
ALSahraa HD	2024-01-01	0.6166666666666667
ALSahraa HD	2024-01-06	1.2166666666666666
Sudan TV	2024-01-03	0.016666666666666666
ALSahraa HD	2024-01-03	0.5166666666666667
MBC Action HD	2024-01-04	0.21666666666666667
MBC2 HD	2024-01-07	0.15
France 24 English HD	2024-01-05	0.016666666666666666
France 24 Arabic HD	2024-01-03	0.03333333333333333
Nemo Kids HD	2024-01-03	0.016666666666666666
Al Arabiya	2024-01-07	1.0833333333333333
MBC IRAQ	2024-01-04	0.08333333333333333
Al Arabiya	2024-01-05	0.6166666666666667
MBC IRAQ	2024-01-03	0.15
Al Hayat Muslsalat	2024-01-06	0.08333333333333333
SSC Extra 1 HD	2024-01-04	4.8
Wanasah	2024-01-06	0.016666666666666666
ALWESAM TV	2024-01-02	0.016666666666666666
Saudi 1 HD	2024-01-01	1.1833333333333333
MBC Action	2024-01-04	2.4166666666666665
Al Arabiya HD	2024-01-02	0.06666666666666667
MBC2 HD	2024-01-05	0.03333333333333333
Mix	2024-01-02	0.016666666666666666
Dubai Sports 3	2024-01-04	0.016666666666666666
MBC Bollywood	2024-01-04	0.016666666666666666
SBC HD	2024-01-06	0.016666666666666666
	2024-01-03	0.1
MBC Masr	2024-01-03	0.016666666666666666
MBC1	2024-01-01	0.5
MBC Masr 2	2024-01-05	0.016666666666666666
SAUDI CH For Sunnah HD	2024-01-07	0.36666666666666664
SSC News HD	2024-01-04	0.016666666666666666
SSC 3 HD	2024-01-05	0.016666666666666666
Saudi 1 HD	2024-01-02	0.6333333333333333
Saudi 1 HD	2024-01-03	0.8166666666666667
MBC2	2024-01-06	1.15
Dubai Sports 1	2024-01-06	0.016666666666666666
SAUDI CH For Sunnah HD	2024-01-03	0.35
MBC1 HD	2024-01-04	0.06666666666666667
MBC Drama	2024-01-05	0.6
GOBX Marhaba	2024-01-03	0.13333333333333333
MBC IRAQ	2024-01-06	0.1
MBC Action HD	2024-01-01	0.7
GOBX Marhaba	2024-01-02	0.18333333333333332
MBC Action	2024-01-07	2.4166666666666665
AlThaqafeya HD	2024-01-03	0.016666666666666666
Rotana Khalijia	2024-01-03	0.016666666666666666
SAUDI CH For Quran HD	2024-01-02	0.21666666666666667
MBC1 HD	2024-01-01	0.13333333333333333
CITRUSS TV	2024-01-01	0.016666666666666666
SSC Extra 2	2024-01-01	2.4
MBC Action	2024-01-02	2.4166666666666665
MTV Lebanon	2024-01-04	0.016666666666666666
SSC Extra 1 HD	2024-01-05	3.183333333333333
Al Arabiya	2024-01-03	1.6166666666666667
MBC3	2024-01-07	0.4
SAUDI CH For Quran HD	2024-01-07	0.38333333333333336
Dubai One	2024-01-07	0.03333333333333333
SSC 1 HD	2024-01-06	0.4666666666666667
MBC3 HD	2024-01-03	0.016666666666666666
SSC Extra 2	2024-01-02	2.4
