mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	00:02:59	Al Arabiya	25071	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709078990.1217587	2024-01-04T00:04:44.706+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	00:02:23	MBC Drama	30434	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709078990.1217587	2024-01-04T00:04:44.706+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	00:01:51	MBC Action	30609	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709078990.1217587	2024-01-04T00:04:44.706+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	03:42:59	Al Arabiya	25076	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T03:44:13.966+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-04	04:10:13	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
d0ebccafea584c0612b5ed708589005d	2024-01-04	11:30:57	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
4de5d928230506096ebe5acbb6d956f3	2024-01-04	13:21:51	MBC Action	30627	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T13:24:26.3+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	20:12:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T20:14:10.149+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	07:09:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-04	03:00:28	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
bda326f89bce77e65a79c04cd2970abe	2024-01-04	12:03:55	Al Arabiya	25088		SALIVE	ARABSAT	1709080108.232373	
852489d2471301cbefc17a3ee8533dc8	2024-01-04	20:31:49	MBC2	14608	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T20:49:46.346+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	07:12:59	Al Arabiya	25118	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T07:14:42.082+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	13:12:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T13:14:08.938+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-04	15:40:38	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
917c4b6d7f2205b267027fde232a13d4	2024-01-04	20:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T20:37:39.24+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	22:42:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T22:44:43.936+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	16:02:23	MBC1	27819	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T16:04:46.294+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-04	15:32:33	MBC2 HD	14562		SALIVE	ARABSAT	1709080108.232373	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	18:22:23	MBC Drama	30292	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T18:25:11.699+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-04	14:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T14:17:41.868+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	02:12:23	SAUDI CH For Quran HD	0	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T02:14:45.049+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	15:59:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T16:35:17.8+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	08:29:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	06:09:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	00:32:59	Al Arabiya	25071	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T00:34:11.062+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	05:51:51	MBC Action	30789	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T05:54:17.831+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	19:02:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T19:04:15.679+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	04:41:51	MBC Action	30613	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T04:44:38.894+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	15:09:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	15:02:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T15:04:43.601+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	01:31:51	MBC Action	30787	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T01:34:09.008+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-04	19:21:11	MBC Action HD	30804		SALIVE	ARABSAT	1709080108.232373	
917c4b6d7f2205b267027fde232a13d4	2024-01-04	07:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T07:38:05.922+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-04	05:55:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T05:58:05.064+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	20:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T20:32:25.057+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-04	01:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T01:38:12.532+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	01:21:51	MBC Action	30609	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T01:24:15.613+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	11:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
bda326f89bce77e65a79c04cd2970abe	2024-01-04	12:24:08	Al Arabiya	25088		SALIVE	ARABSAT	1709080108.232373	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	21:22:23	MBC Drama	30295	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T21:25:07.071+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	03:29:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:23:16.782+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	03:32:23	SAUDI CH For Sunnah HD	0	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T03:34:44.838+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	10:52:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T10:54:43.578+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	19:59:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T20:32:25.057+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-04	15:55:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T15:57:40.432+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	16:42:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709080108.232373	2024-01-04T16:44:08.761+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-04	02:40:15	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-04	02:11:07	Al Arabiya HD	25074		SALIVE	ARABSAT	1709080108.232373	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-04	18:12:23	MBC Drama	30292	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T18:15:09.739+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-04	05:10:52	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709080108.232373	
50d36e864595f192aa69d23d52f7c8bf	2024-01-04	02:42:59	Al Arabiya	25074	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T02:44:09.986+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	09:31:51	MBC Action	30797	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T09:34:37.829+00:00
4136b85db09a646f2fb83c341556c940	2024-01-04	23:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T23:29:33.869+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-04	01:51:51	MBC Action	30787	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709080108.232373	2024-01-04T01:54:04.633+00:00
