channel	view_date	reach	trp
ALSahraa HD	2024-01-01	0.1111111111111111	355
Al Arabiya	2024-01-01	0.3333333333333333	757
Al Arabiya HD	2024-01-01	0.1111111111111111	22
Al Hadath	2024-01-01	0.1111111111111111	249
Al Hayat Muslsalat	2024-01-01	0.1111111111111111	1
Al Saeedah	2024-01-01	0.1111111111111111	1
Alrai TV	2024-01-01	0.1111111111111111	4
CBC	2024-01-01	0.1111111111111111	2
CITRUSS TV	2024-01-01	0.1111111111111111	1
France 24 English HD	2024-01-01	0.1111111111111111	11
GOBX Marhaba	2024-01-01	0.2222222222222222	102
HYA	2024-01-01	0.1111111111111111	17
MBC Action	2024-01-01	0.1111111111111111	1439
MBC Action HD	2024-01-01	0.1111111111111111	405
MBC Drama	2024-01-01	0.1111111111111111	2
MBC IRAQ	2024-01-01	0.1111111111111111	84
MBC Masr 2	2024-01-01	0.2222222222222222	183
MBC+ Variety HD	2024-01-01	0.1111111111111111	6
MBC1	2024-01-01	0.4444444444444444	265
MBC1 HD	2024-01-01	0.1111111111111111	63
MBC2 HD	2024-01-01	0.1111111111111111	3
MBC3	2024-01-01	0.1111111111111111	2
Rotana Drama	2024-01-01	0.1111111111111111	1
Rotana Khalijia	2024-01-01	0.1111111111111111	1
SAUDI CH For Quran HD	2024-01-01	0.1111111111111111	302
SAUDI CH For Sunnah HD	2024-01-01	0.1111111111111111	104
SBC HD	2024-01-01	0.1111111111111111	9
SPACETOON ARABIC	2024-01-01	0.1111111111111111	195
SSC Extra 1 HD	2024-01-01	0.2222222222222222	2871
SSC Extra 2	2024-01-01	0.1111111111111111	1435
SSC News HD	2024-01-01	0.1111111111111111	1
Sama Dubai	2024-01-01	0.1111111111111111	26
Saudi 1 HD	2024-01-01	0.1111111111111111	1159
Test	2024-01-01	0.1111111111111111	5
Wanasah	2024-01-01	0.1111111111111111	1
ALSahraa HD	2024-01-02	0.1111111111111111	1110
ALWESAM TV	2024-01-02	0.1111111111111111	1
Al Arabiya	2024-01-02	0.1111111111111111	555
Al Arabiya HD	2024-01-02	0.1111111111111111	20
GOBX Marhaba	2024-01-02	0.1111111111111111	106
Libya Sport 2 HD	2024-01-02	0.1111111111111111	1
MBC Action	2024-01-02	0.2222222222222222	1441
MBC Action HD	2024-01-02	0.1111111111111111	396
MBC Drama	2024-01-02	0.2222222222222222	139
MBC IRAQ	2024-01-02	0.1111111111111111	201
MBC IRAQ HD	2024-01-02	0.1111111111111111	98
MBC MAX	2024-01-02	0.1111111111111111	188
MBC1	2024-01-02	0.3333333333333333	567
MBC1 HD	2024-01-02	0.1111111111111111	62
MBC2 HD	2024-01-02	0.1111111111111111	41
MBC3	2024-01-02	0.2222222222222222	4
MBC4	2024-01-02	0.1111111111111111	1
Mix	2024-01-02	0.1111111111111111	1
SAUDI CH For Quran HD	2024-01-02	0.1111111111111111	100
SAUDI CH For Sunnah HD	2024-01-02	0.1111111111111111	139
SPACETOON ARABIC	2024-01-02	0.1111111111111111	38
SSC Extra 1 HD	2024-01-02	0.2222222222222222	2880
SSC Extra 2	2024-01-02	0.1111111111111111	1440
SSC Extra 3 HD	2024-01-02	0.1111111111111111	2
SSC News HD	2024-01-02	0.1111111111111111	36
Saudi 1 HD	2024-01-02	0.1111111111111111	803
Shopping 3	2024-01-02	0.1111111111111111	1
ALSahraa HD	2024-01-03	0.1111111111111111	305
Al Arabiya	2024-01-03	0.2222222222222222	952
Al Arabiya Business	2024-01-03	0.1111111111111111	6
Al Arabiya HD	2024-01-03	0.1111111111111111	25
Al Nahar Drama	2024-01-03	0.1111111111111111	12
AlThaqafeya HD	2024-01-03	0.1111111111111111	7
Asharq Documentary HD	2024-01-03	0.1111111111111111	1
BELQEES	2024-01-03	0.1111111111111111	1
Channel 8 ARA	2024-01-03	0.1111111111111111	1
Dubai TV	2024-01-03	0.1111111111111111	9
EL HEDDAF TV	2024-01-03	0.1111111111111111	1
Euronews	2024-01-03	0.1111111111111111	1
Fight Sports	2024-01-03	0.1111111111111111	12
France 24 Arabic HD	2024-01-03	0.1111111111111111	2
France 24 English HD	2024-01-03	0.1111111111111111	5
GOBX Marhaba	2024-01-03	0.1111111111111111	71
KTV 1	2024-01-03	0.1111111111111111	27
MBC Action	2024-01-03	0.1111111111111111	1440
MBC Action HD	2024-01-03	0.1111111111111111	281
MBC Drama	2024-01-03	0.1111111111111111	342
MBC Drama HD	2024-01-03	0.1111111111111111	1
MBC IRAQ	2024-01-03	0.2222222222222222	77
MBC IRAQ HD	2024-01-03	0.1111111111111111	9
MBC MAX	2024-01-03	0.2222222222222222	220
MBC Masr	2024-01-03	0.1111111111111111	1
MBC Max HD	2024-01-03	0.1111111111111111	22
MBC+ Drama  HD	2024-01-03	0.1111111111111111	2
MBC+ Variety HD	2024-01-03	0.1111111111111111	8
MBC1	2024-01-03	0.3333333333333333	391
MBC1 HD	2024-01-03	0.1111111111111111	25
MBC2	2024-01-03	0.1111111111111111	1
MBC2 HD	2024-01-03	0.1111111111111111	144
MBC3 HD	2024-01-03	0.1111111111111111	9
Nemo Kids HD	2024-01-03	0.1111111111111111	1
Nile Drama	2024-01-03	0.1111111111111111	1
OSNtv Movies Comedy	2024-01-03	0.1111111111111111	1
Rotana Khalijia	2024-01-03	0.1111111111111111	1
SAUDI CH For Quran HD	2024-01-03	0.1111111111111111	96
SAUDI CH For Sunnah HD	2024-01-03	0.1111111111111111	188
SBC HD	2024-01-03	0.1111111111111111	22
SSC Extra 1 HD	2024-01-03	0.2222222222222222	2880
SSC Extra 2	2024-01-03	0.2222222222222222	1443
SSC1	2024-01-03	0.1111111111111111	1
Saudi 1 HD	2024-01-03	0.2222222222222222	984
Saudi Quran HD	2024-01-03	0.1111111111111111	13
Saudi Sports 1 HD	2024-01-03	0.1111111111111111	47
Sudan TV	2024-01-03	0.1111111111111111	1
ALSahraa HD	2024-01-04	0.1	890
Abu Dhabi TV	2024-01-04	0.1	59
Al Arabiya	2024-01-04	0.2	911
Al Arabiya HD	2024-01-04	0.1	108
Dubai One	2024-01-04	0.1	1
Dubai Sports 3	2024-01-04	0.1	1
GOBX Marhaba	2024-01-04	0.3	276
LIBYA SPORT 1 HD	2024-01-04	0.1	1
Libya Sport 2 HD	2024-01-04	0.1	1
MBC Action	2024-01-04	0.2	1441
MBC Action HD	2024-01-04	0.1	153
MBC Bollywood	2024-01-04	0.1	1
MBC Drama	2024-01-04	0.1	374
MBC IRAQ	2024-01-04	0.1	41
MBC MAX	2024-01-04	0.2	241
MBC Max HD	2024-01-04	0.1	1
MBC+ Variety HD	2024-01-04	0.1	16
MBC1	2024-01-04	0.3	487
MBC1 HD	2024-01-04	0.1	25
MBC2	2024-01-04	0.1	119
MBC2 HD	2024-01-04	0.1	107
MBC3	2024-01-04	0.1	146
MTV Lebanon	2024-01-04	0.1	1
Quran Kareem	2024-01-04	0.1	1
SAUDI CH For Quran HD	2024-01-04	0.1	135
SAUDI CH For Sunnah HD	2024-01-04	0.1	182
SBC HD	2024-01-04	0.1	40
SSC 2 HD	2024-01-04	0.1	19
SSC 3 HD	2024-01-04	0.1	1
SSC 4 HD	2024-01-04	0.1	1
SSC Extra 1 HD	2024-01-04	0.2	2880
SSC Extra 2	2024-01-04	0.1	1440
SSC News HD	2024-01-04	0.1	46
Saudi 1 HD	2024-01-04	0.1	836
Saudi Radio 1	2024-01-04	0.1	1
Sports 4	2024-01-04	0.1	1
ALKASS ONE HD	2024-01-05	0.1	1
ALSahraa HD	2024-01-05	0.1	580
Al Arabiya	2024-01-05	0.1	666
Al Hadath	2024-01-05	0.1	1
Al Nahar Drama	2024-01-05	0.1	56
Asharq News Channel HD	2024-01-05	0.1	1
France 24 English HD	2024-01-05	0.1	1
Fujairah Athaan	2024-01-05	0.1	4
Fursan Aliraq TV	2024-01-05	0.1	59
GOBX Marhaba	2024-01-05	0.3	847
MBC Action	2024-01-05	0.1	1440
MBC Action HD	2024-01-05	0.1	189
MBC Drama	2024-01-05	0.1	343
MBC IRAQ	2024-01-05	0.1	20
MBC MAX	2024-01-05	0.1	1
MBC Masr 2	2024-01-05	0.1	1
MBC+ Drama  HD	2024-01-05	0.2	103
MBC1	2024-01-05	0.4	1239
MBC1 HD	2024-01-05	0.2	384
MBC2 HD	2024-01-05	0.1	2
MBC3	2024-01-05	0.1	1440
MBC4	2024-01-05	0.1	1
SAUDI CH For Quran HD	2024-01-05	0.1	205
SAUDI CH For Sunnah HD	2024-01-05	0.1	123
SSC 1 HD	2024-01-05	0.1	12
SSC 2 HD	2024-01-05	0.1	10
SSC 3 HD	2024-01-05	0.1	1
SSC Extra 1 HD	2024-01-05	0.2	1916
SSC Extra 2	2024-01-05	0.1	1440
SSC News HD	2024-01-05	0.1	570
Saudi 1 HD	2024-01-05	0.1	962
Saudi Quran HD	2024-01-05	0.1	116
Wanasah	2024-01-05	0.1	1
beIN SPORTS HD	2024-01-05	0.1	4
falestinona TV	2024-01-05	0.1	1
ALSahraa HD	2024-01-06	0.1	865
Al Arabiya	2024-01-06	0.1	1440
Al Arabiya Business	2024-01-06	0.1	205
Al Arabiya HD	2024-01-06	0.1	1
Al Hayat Muslsalat	2024-01-06	0.1	43
AlThaqafeya HD	2024-01-06	0.1	1
CBC	2024-01-06	0.1	1
CBC Drama	2024-01-06	0.1	2
Dubai Sports 1	2024-01-06	0.1	1
France 24 English HD	2024-01-06	0.1	8
GOBX Marhaba	2024-01-06	0.3	1566
MBC Action	2024-01-06	0.2	1456
MBC Action HD	2024-01-06	0.1	181
MBC Drama	2024-01-06	0.2	30
MBC Drama HD	2024-01-06	0.1	1
MBC IRAQ	2024-01-06	0.1	49
MBC Masr	2024-01-06	0.1	3
MBC Max HD	2024-01-06	0.1	728
MBC+ Drama  HD	2024-01-06	0.1	2
MBC1	2024-01-06	0.4	809
MBC1 HD	2024-01-06	0.2	1441
MBC2	2024-01-06	0.4	792
MBC3	2024-01-06	0.3	1479
MBC3 HD	2024-01-06	0.1	5
MBC4	2024-01-06	0.2	4
Mehwer	2024-01-06	0.1	2
Nile Drama	2024-01-06	0.1	94
SAUDI CH For Quran HD	2024-01-06	0.1	613
SBC HD	2024-01-06	0.1	4
SSC 1 HD	2024-01-06	0.1	272
SSC 2 HD	2024-01-06	0.1	3
SSC 4 HD	2024-01-06	0.1	1
SSC 5 HD	2024-01-06	0.1	14
SSC Extra 2	2024-01-06	0.1	8
SSC News HD	2024-01-06	0.1	535
Sama Dubai	2024-01-06	0.1	20
Saudi 1 HD	2024-01-06	0.1	844
Wanasah	2024-01-06	0.1	3
beIN SPORTS HD	2024-01-06	0.1	1
ALSahraa HD	2024-01-07	0.1	660
Al Arabiya	2024-01-07	0.2	1806
Al Hadath	2024-01-07	0.1	1
Al Jadeed	2024-01-07	0.1	54
Al Nahar Drama	2024-01-07	0.1	126
CITRUSS TV	2024-01-07	0.1	1
Dubai One	2024-01-07	0.1	3
Dubai TV	2024-01-07	0.1	4
GOBX Marhaba	2024-01-07	0.4	1565
KTV 1	2024-01-07	0.1	1
MBC Action	2024-01-07	0.2	1433
MBC Drama	2024-01-07	0.2	299
MBC IRAQ	2024-01-07	0.2	167
MBC MAX	2024-01-07	0.3	16
MBC Masr	2024-01-07	0.1	1
MBC Max HD	2024-01-07	0.1	696
MBC+ Drama  HD	2024-01-07	0.1	44
MBC1	2024-01-07	0.3	361
MBC1 HD	2024-01-07	0.1	1440
MBC2	2024-01-07	0.1	880
MBC2 HD	2024-01-07	0.1	81
MBC3	2024-01-07	0.1	193
MBC4	2024-01-07	0.1	6
Nile Drama	2024-01-07	0.1	3
Qatar QBS Radio	2024-01-07	0.1	5
SAUDI CH For Quran HD	2024-01-07	0.1	209
SAUDI CH For Sunnah HD	2024-01-07	0.1	196
SBC HD	2024-01-07	0.1	36
SSC 1 HD	2024-01-07	0.2	1654
SSC 5 HD	2024-01-07	0.1	132
SSC Extra 2 HD	2024-01-07	0.1	11
SSC News HD	2024-01-07	0.1	20
Saudi 1 HD	2024-01-07	0.1	1255
