channel	date	total_viewership_hours
SSC Extra 1 HD	2024-01-01	47.849999999998566
MBC Action	2024-01-01	23.983333333333253
SSC Extra 2	2024-01-01	23.91666666666659
Saudi 1 HD	2024-01-01	19.31666666666685
Al Arabiya	2024-01-01	12.616666666666873
MBC Action HD	2024-01-01	6.749999999999981
ALSahraa HD	2024-01-01	5.916666666666651
SAUDI CH For Quran HD	2024-01-01	5.033333333333321
MBC1	2024-01-01	4.416666666666656
Al Hadath	2024-01-01	4.149999999999991
SPACETOON ARABIC	2024-01-01	3.2499999999999933
MBC Masr 2	2024-01-01	3.049999999999994
SAUDI CH For Sunnah HD	2024-01-01	1.733333333333332
GOBX Marhaba	2024-01-01	1.6999999999999988
MBC IRAQ	2024-01-01	1.4
MBC1 HD	2024-01-01	1.0500000000000012
Sama Dubai	2024-01-01	0.4333333333333333
Al Arabiya HD	2024-01-01	0.36666666666666664
HYA	2024-01-01	0.2833333333333333
France 24 English HD	2024-01-01	0.18333333333333332
SBC HD	2024-01-01	0.15
MBC+ Variety HD	2024-01-01	0.09999999999999999
Test	2024-01-01	0.08333333333333333
Alrai TV	2024-01-01	0.06666666666666667
MBC2 HD	2024-01-01	0.05
CBC	2024-01-01	0.03333333333333333
MBC Drama	2024-01-01	0.03333333333333333
MBC3	2024-01-01	0.03333333333333333
Al Hayat Muslsalat	2024-01-01	0.016666666666666666
SSC News HD	2024-01-01	0.016666666666666666
Rotana Drama	2024-01-01	0.016666666666666666
Al Saeedah	2024-01-01	0.016666666666666666
CITRUSS TV	2024-01-01	0.016666666666666666
Wanasah	2024-01-01	0.016666666666666666
Rotana Khalijia	2024-01-01	0.016666666666666666
SSC Extra 1 HD	2024-01-02	47.99999999999856
MBC Action	2024-01-02	24.016666666666584
SSC Extra 2	2024-01-02	23.99999999999992
ALSahraa HD	2024-01-02	18.50000000000023
Saudi 1 HD	2024-01-02	13.383333333333578
MBC1	2024-01-02	9.450000000000049
Al Arabiya	2024-01-02	9.250000000000039
MBC Action HD	2024-01-02	6.599999999999982
MBC IRAQ	2024-01-02	3.349999999999993
MBC MAX	2024-01-02	3.133333333333327
SAUDI CH For Sunnah HD	2024-01-02	2.3166666666666633
MBC Drama	2024-01-02	2.3166666666666633
GOBX Marhaba	2024-01-02	1.7666666666666653
SAUDI CH For Quran HD	2024-01-02	1.6666666666666656
MBC IRAQ HD	2024-01-02	1.6333333333333324
MBC1 HD	2024-01-02	1.0333333333333345
MBC2 HD	2024-01-02	0.6833333333333338
SPACETOON ARABIC	2024-01-02	0.6333333333333336
SSC News HD	2024-01-02	0.6000000000000002
Al Arabiya HD	2024-01-02	0.3333333333333333
MBC3	2024-01-02	0.06666666666666667
SSC Extra 3 HD	2024-01-02	0.03333333333333333
Libya Sport 2 HD	2024-01-02	0.016666666666666666
MBC4	2024-01-02	0.016666666666666666
ALWESAM TV	2024-01-02	0.016666666666666666
Mix	2024-01-02	0.016666666666666666
Shopping 3	2024-01-02	0.016666666666666666
SSC Extra 1 HD	2024-01-03	47.99999999999856
SSC Extra 2	2024-01-03	24.049999999999915
MBC Action	2024-01-03	23.99999999999992
Saudi 1 HD	2024-01-03	16.40000000000035
Al Arabiya	2024-01-03	15.866666666667035
MBC1	2024-01-03	6.516666666666649
MBC Drama	2024-01-03	5.699999999999985
ALSahraa HD	2024-01-03	5.083333333333321
MBC Action HD	2024-01-03	4.683333333333322
MBC MAX	2024-01-03	3.6666666666666585
SAUDI CH For Sunnah HD	2024-01-03	3.133333333333327
MBC2 HD	2024-01-03	2.3999999999999964
SAUDI CH For Quran HD	2024-01-03	1.5999999999999992
MBC IRAQ	2024-01-03	1.2833333333333337
GOBX Marhaba	2024-01-03	1.183333333333334
Saudi Sports 1 HD	2024-01-03	0.7833333333333341
KTV 1	2024-01-03	0.44999999999999996
Al Arabiya HD	2024-01-03	0.41666666666666663
MBC1 HD	2024-01-03	0.41666666666666663
SBC HD	2024-01-03	0.36666666666666664
MBC Max HD	2024-01-03	0.36666666666666664
Saudi Quran HD	2024-01-03	0.21666666666666665
Fight Sports	2024-01-03	0.19999999999999998
Al Nahar Drama	2024-01-03	0.19999999999999998
Dubai TV	2024-01-03	0.15
MBC3 HD	2024-01-03	0.15
MBC IRAQ HD	2024-01-03	0.15
MBC+ Variety HD	2024-01-03	0.13333333333333333
AlThaqafeya HD	2024-01-03	0.11666666666666665
Al Arabiya Business	2024-01-03	0.09999999999999999
France 24 English HD	2024-01-03	0.08333333333333333
MBC+ Drama  HD	2024-01-03	0.03333333333333333
France 24 Arabic HD	2024-01-03	0.03333333333333333
MBC2	2024-01-03	0.016666666666666666
BELQEES	2024-01-03	0.016666666666666666
MBC Drama HD	2024-01-03	0.016666666666666666
EL HEDDAF TV	2024-01-03	0.016666666666666666
OSNtv Movies Comedy	2024-01-03	0.016666666666666666
SSC1	2024-01-03	0.016666666666666666
Channel 8 ARA	2024-01-03	0.016666666666666666
Sudan TV	2024-01-03	0.016666666666666666
Nemo Kids HD	2024-01-03	0.016666666666666666
MBC Masr	2024-01-03	0.016666666666666666
Rotana Khalijia	2024-01-03	0.016666666666666666
Euronews	2024-01-03	0.016666666666666666
Nile Drama	2024-01-03	0.016666666666666666
Asharq Documentary HD	2024-01-03	0.016666666666666666
SSC Extra 1 HD	2024-01-04	47.99999999999856
MBC Action	2024-01-04	24.016666666666584
SSC Extra 2	2024-01-04	23.99999999999992
Al Arabiya	2024-01-04	15.183333333333668
ALSahraa HD	2024-01-04	14.83333333333365
Saudi 1 HD	2024-01-04	13.933333333333605
MBC1	2024-01-04	8.11666666666665
MBC Drama	2024-01-04	6.2333333333333165
GOBX Marhaba	2024-01-04	4.599999999999989
MBC MAX	2024-01-04	4.016666666666658
SAUDI CH For Sunnah HD	2024-01-04	3.0333333333333274
MBC Action HD	2024-01-04	2.549999999999996
MBC3	2024-01-04	2.4333333333333296
SAUDI CH For Quran HD	2024-01-04	2.249999999999997
MBC2	2024-01-04	1.9833333333333312
Al Arabiya HD	2024-01-04	1.7999999999999985
MBC2 HD	2024-01-04	1.7833333333333319
Abu Dhabi TV	2024-01-04	0.9833333333333347
SSC News HD	2024-01-04	0.7666666666666674
MBC IRAQ	2024-01-04	0.6833333333333338
SBC HD	2024-01-04	0.6666666666666671
MBC1 HD	2024-01-04	0.41666666666666663
SSC 2 HD	2024-01-04	0.31666666666666665
MBC+ Variety HD	2024-01-04	0.26666666666666666
SSC 3 HD	2024-01-04	0.016666666666666666
Dubai One	2024-01-04	0.016666666666666666
Sports 4	2024-01-04	0.016666666666666666
Saudi Radio 1	2024-01-04	0.016666666666666666
SSC 4 HD	2024-01-04	0.016666666666666666
Quran Kareem	2024-01-04	0.016666666666666666
MBC Max HD	2024-01-04	0.016666666666666666
LIBYA SPORT 1 HD	2024-01-04	0.016666666666666666
Dubai Sports 3	2024-01-04	0.016666666666666666
MBC Bollywood	2024-01-04	0.016666666666666666
MTV Lebanon	2024-01-04	0.016666666666666666
Libya Sport 2 HD	2024-01-04	0.016666666666666666
SSC Extra 1 HD	2024-01-05	31.9333333333328
MBC Action	2024-01-05	23.99999999999992
SSC Extra 2	2024-01-05	23.99999999999992
MBC3	2024-01-05	23.99999999999992
MBC1	2024-01-05	20.65000000000011
Saudi 1 HD	2024-01-05	16.033333333333704
GOBX Marhaba	2024-01-05	14.116666666666948
Al Arabiya	2024-01-05	11.100000000000131
ALSahraa HD	2024-01-05	9.666666666666726
SSC News HD	2024-01-05	9.500000000000052
MBC1 HD	2024-01-05	6.399999999999983
MBC Drama	2024-01-05	5.716666666666652
SAUDI CH For Quran HD	2024-01-05	3.4166666666666594
MBC Action HD	2024-01-05	3.1499999999999937
SAUDI CH For Sunnah HD	2024-01-05	2.0499999999999976
Saudi Quran HD	2024-01-05	1.9333333333333313
MBC+ Drama  HD	2024-01-05	1.7166666666666655
Fursan Aliraq TV	2024-01-05	0.9833333333333347
Al Nahar Drama	2024-01-05	0.9333333333333346
MBC IRAQ	2024-01-05	0.3333333333333333
SSC 1 HD	2024-01-05	0.19999999999999998
SSC 2 HD	2024-01-05	0.16666666666666666
Fujairah Athaan	2024-01-05	0.06666666666666667
beIN SPORTS HD	2024-01-05	0.06666666666666667
MBC2 HD	2024-01-05	0.03333333333333333
MBC MAX	2024-01-05	0.016666666666666666
MBC4	2024-01-05	0.016666666666666666
ALKASS ONE HD	2024-01-05	0.016666666666666666
Wanasah	2024-01-05	0.016666666666666666
France 24 English HD	2024-01-05	0.016666666666666666
MBC Masr 2	2024-01-05	0.016666666666666666
SSC 3 HD	2024-01-05	0.016666666666666666
Asharq News Channel HD	2024-01-05	0.016666666666666666
Al Hadath	2024-01-05	0.016666666666666666
falestinona TV	2024-01-05	0.016666666666666666
GOBX Marhaba	2024-01-06	26.0999999999998
MBC3	2024-01-06	24.64999999999988
MBC Action	2024-01-06	24.26666666666657
MBC1 HD	2024-01-06	24.016666666666584
Al Arabiya	2024-01-06	23.99999999999992
ALSahraa HD	2024-01-06	14.416666666666963
Saudi 1 HD	2024-01-06	14.066666666666945
MBC1	2024-01-06	13.483333333333583
MBC2	2024-01-06	13.200000000000236
MBC Max HD	2024-01-06	12.133333333333516
SAUDI CH For Quran HD	2024-01-06	10.216666666666754
SSC News HD	2024-01-06	8.91666666666669
SSC 1 HD	2024-01-06	4.533333333333323
Al Arabiya Business	2024-01-06	3.4166666666666594
MBC Action HD	2024-01-06	3.016666666666661
Nile Drama	2024-01-06	1.566666666666666
MBC IRAQ	2024-01-06	0.8166666666666675
Al Hayat Muslsalat	2024-01-06	0.7166666666666672
MBC Drama	2024-01-06	0.49999999999999994
Sama Dubai	2024-01-06	0.3333333333333333
SSC 5 HD	2024-01-06	0.2333333333333333
France 24 English HD	2024-01-06	0.13333333333333333
SSC Extra 2	2024-01-06	0.13333333333333333
MBC3 HD	2024-01-06	0.08333333333333333
SBC HD	2024-01-06	0.06666666666666667
MBC4	2024-01-06	0.06666666666666667
MBC Masr	2024-01-06	0.05
SSC 2 HD	2024-01-06	0.05
Wanasah	2024-01-06	0.05
CBC Drama	2024-01-06	0.03333333333333333
Mehwer	2024-01-06	0.03333333333333333
MBC+ Drama  HD	2024-01-06	0.03333333333333333
CBC	2024-01-06	0.016666666666666666
beIN SPORTS HD	2024-01-06	0.016666666666666666
SSC 4 HD	2024-01-06	0.016666666666666666
Al Arabiya HD	2024-01-06	0.016666666666666666
Dubai Sports 1	2024-01-06	0.016666666666666666
MBC Drama HD	2024-01-06	0.016666666666666666
AlThaqafeya HD	2024-01-06	0.016666666666666666
Al Arabiya	2024-01-07	30.09999999999957
SSC 1 HD	2024-01-07	27.549999999999716
GOBX Marhaba	2024-01-07	26.066666666666467
MBC1 HD	2024-01-07	23.983333333333253
MBC Action	2024-01-07	23.866666666666593
Saudi 1 HD	2024-01-07	20.900000000000095
MBC2	2024-01-07	14.666666666666975
MBC Max HD	2024-01-07	11.600000000000156
ALSahraa HD	2024-01-07	11.000000000000126
MBC1	2024-01-07	6.016666666666651
MBC Drama	2024-01-07	4.983333333333321
